id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,"['Lil Nas X', 'Billy Ray Cyrus']",80,2019-06-21,0.878,0.619,6,-5.56,1,0.0533,0.0,0.113,0.639,136.041,157067,4
2Fxmhks0bxGSBdJ92vM42m,bad guy,['Billie Eilish'],85,2019-03-29,0.701,0.425,7,-10.965,1,0.328,0.13,0.1,0.562,135.128,194088,4
6v3KW9xbzN5yKLt9YKDYA2,Señorita,"['Shawn Mendes', 'Camila Cabello']",79,2019-06-19,0.759,0.548,9,-6.049,0,0.0392,0.0,0.0828,0.749,116.967,190800,4
6ocbgoVGwYJhOv1GgI9NsF,7 rings,['Ariana Grande'],85,2019-02-08,0.778,0.317,1,-10.732,0,0.592,0.0,0.0881,0.327,140.048,178627,4
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",80,2019-09-06,0.755,0.522,2,-4.368,1,0.533,0.0,0.0685,0.925,89.96,157560,4
7COXchtUOMd6uIT6HvmRaI,i'm so tired...,"['Lauv', 'Troye Sivan']",5,2019-01-24,0.599,0.733,11,-7.058,1,0.176,0.0,0.242,0.534,102.211,162583,4
5p7ujcrUXASCNwRaWNHR1C,Without Me,['Halsey'],79,2018-10-04,0.752,0.488,6,-7.05,1,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,['Dua Lipa'],82,2019-10-31,0.794,0.793,11,-4.521,0,0.0125,0.0,0.0952,0.677,123.941,183290,4
2VxeLyX666F8uXCJ0dZF8B,Shallow,"['Lady Gaga', 'Bradley Cooper']",84,2018-10-05,0.572,0.385,7,-6.362,1,0.371,0.0,0.231,0.323,95.799,215733,4
22vgEDb5hykfaTwLuskFGD,Sucker,['Jonas Brothers'],81,2019-06-07,0.842,0.734,1,-5.065,0,0.0427,0.0,0.106,0.952,137.958,181027,4
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,['Lewis Capaldi'],87,2019-05-17,0.501,0.405,1,-5.679,1,0.751,0.0,0.105,0.446,109.891,182161,4
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,['Shawn Mendes'],75,2019-05-03,0.692,0.809,2,-4.198,1,0.524,0.0,0.147,0.864,123.911,190800,4
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)","['Dan + Shay', 'Justin Bieber']",80,2019-10-04,0.654,0.63,10,-4.644,1,0.153,0.0,0.111,0.43,89.991,167693,4
70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),"['Ed Sheeran', 'Khalid']",74,2019-07-12,0.64,0.647,5,-8.114,0,0.124,0.0,0.0801,0.546,92.979,197867,4
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),"['Ariana Grande', 'Social House']",77,2019-08-02,0.4,0.795,10,-3.731,0,0.119,0.0,0.159,0.702,190.097,186107,4
1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,['Selena Gomez'],22,2019-10-23,0.505,0.34,4,-9.005,1,0.576,0.0,0.21,0.0916,101.993,206459,4
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,['Katy Perry'],74,2019-05-31,0.77,0.882,8,-4.792,1,0.194,0.0,0.316,0.385,99.991,223523,4
4T3fNx3CgwDRRYgmFCbD4J,Better,['Khalid'],74,2018-09-14,0.442,0.585,0,-10.332,0,0.0984,0.391,0.14,0.116,97.565,229413,4
5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),"['BTS', 'Halsey']",81,2019-04-12,0.645,0.862,11,-4.757,0,0.0923,0.0,0.192,0.798,119.991,229773,4
4tNXntkAzQ5A2dfYRYGIIQ,Easier,['5 Seconds of Summer'],3,2019-05-23,0.505,0.428,5,-5.604,1,0.489,0.0,0.0977,0.618,175.813,157493,4
2dpaYNEQHiRxtZbfNsse99,Happier,"['Marshmello', 'Bastille']",83,2018-08-17,0.687,0.792,5,-2.749,1,0.191,0.0,0.167,0.671,100.015,214290,4
0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),"['Ed Sheeran', 'Justin Bieber']",75,2019-07-12,0.798,0.676,6,-5.041,1,0.0902,0.0,0.0894,0.843,101.956,219947,4
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),"['Sam Feldt', 'RANI']",72,2019-05-24,0.59,0.642,7,-3.87,1,0.0771,0.0,0.105,0.651,107.356,174444,4
7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid),"['benny blanco', 'Halsey', 'Khalid']",73,2018-12-07,0.632,0.686,6,-7.665,0,0.549,0.0,0.2,0.329,89.949,170770,4
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",['Ariana Grande'],82,2019-02-08,0.717,0.653,1,-5.634,1,0.229,0.0,0.101,0.412,106.966,207320,4
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,['Taylor Swift'],77,2019-08-23,0.552,0.702,9,-5.707,1,0.117,2.06e-05,0.105,0.564,169.994,178427,4
21jGcNKet2qwijlDFuPiPb,Circles,['Post Malone'],87,2019-09-06,0.695,0.762,0,-3.497,1,0.192,0.00244,0.0863,0.553,120.042,215280,4
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,['Sam Smith'],77,2019-07-19,0.477,0.682,1,-4.931,0,0.153,0.0,0.0763,0.345,110.567,202205,5
073ILU1C3APNRGF66VhtyA,Liar,['Camila Cabello'],66,2019-12-06,0.74,0.498,11,-6.684,0,0.0169,0.00282,0.319,0.652,98.016,207039,4
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",['Ariana Grande'],77,2019-02-08,0.726,0.554,5,-5.29,0,0.0421,0.0,0.106,0.335,169.999,190440,4
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,['Alec Benjamin'],83,2018-11-16,0.652,0.557,1,-5.714,0,0.74,0.0,0.124,0.483,150.073,169354,4
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"['Billie Eilish', 'Khalid']",87,2018-04-19,0.351,0.296,4,-10.109,0,0.934,0.0,0.095,0.12,115.284,200186,4
0uUNN1nSoUx1A4fkDCWDQ7,So Am I,['Ava Max'],6,2019-03-07,0.682,0.656,6,-4.67,1,0.0737,0.0,0.353,0.607,130.089,183027,4
6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,['Taylor Swift'],78,2019-08-23,0.771,0.671,2,-5.617,1,0.00929,0.0,0.0637,0.714,85.026,171360,4
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,['Mabel'],79,2019-01-18,0.674,0.881,9,-2.853,1,0.296,3.01e-06,0.0793,0.234,98.994,178480,4
0rIAC4PXANcKmitJfoqmVm,Motivation,['Normani'],73,2019-08-16,0.599,0.887,4,-3.967,1,0.0192,1.21e-06,0.3,0.881,170.918,193837,4
18PergoIrGmRyeYxnaXJN2,Kill This Love,['BLACKPINK'],5,2019-04-05,0.738,0.861,2,-4.141,1,0.318,0.00182,0.325,0.58,131.98,189052,4
6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),"['Kehlani', 'Ty Dolla $ign']",76,2019-02-22,0.61,0.725,8,-5.131,1,0.367,0.0,0.154,0.291,146.163,201788,4
6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),"['Khalid', 'Disclosure']",73,2019-04-05,0.9,0.4,0,-8.575,1,0.0516,0.0,0.0599,0.346,135.984,197573,4
0PG9fbaaHFHfre2gUVo7AN,Please Me,"['Cardi B', 'Bruno Mars']",74,2019-02-15,0.747,0.57,1,-6.711,1,0.0642,0.0,0.0832,0.65,133.992,200890,4
